Attribut selection,/language=en/taps=35426/35648/attribut-selection
Conditional element selection,/language=en/taps=35426/35650/conditional-element-selection
Merging character strings,/language=en/taps=35426/35652/merging-character-strings
Filtering by attribute value,/language=en/taps=35426/35654/filtering-by-attribute-value
Filtering by numeric values,/language=en/taps=35426/35656/filtering-by-numeric-values
Limiting number,/language=en/taps=35426/35658/limiting-number
Filtering by character conditions,/language=en/taps=35426/35660/filtering-by-character-conditions
Filtering by text length,/language=en/taps=35426/35662/filtering-by-text-length
Rounding up and down and adding,/language=en/taps=35426/35664/rounding-up-and-down-and-adding
Selecting the following siblings,/language=en/taps=35426/35666/selecting-the-following-siblings
Selecting following siblings with filtering,/language=en/taps=35426/35668/selecting-following-siblings-with-filtering
Attribute selection with namespaces,/language=en/taps=35426/35670/attribute-selection-with-namespaces
Selecting all links of a document,/language=en/taps=35426/35672/selecting-all-links-of-a-document
Selecting all links to Google within a document,/language=en/taps=35426/35674/selecting-all-links-to-google-within-a-document
Selecting elements by name,/language=en/taps=35426/35676/selecting-elements-by-name
Selecting elements by name with namespaces,/language=en/taps=35426/35678/selecting-elements-by-name-with-namespaces
Counting elements selected by certain criteria,/language=en/taps=35426/35680/counting-elements-selected-by-certain-criteria
Content of a parent element,/language=en/taps=35426/35682/content-of-a-parent-element
Finding surrounding element,/language=en/taps=35426/35684/finding-surrounding-element
First and last element,/language=en/taps=35426/35686/first-and-last-element
Changing character string,/language=en/taps=35426/35688/changing-character-string
Counting nodes with condition,/language=en/taps=35426/35690/counting-nodes-with-condition
Comparisons in conditions,/language=en/taps=35426/35692/comparisons-in-conditions
Selecting all links which open a new window,/language=en/taps=35426/35694/selecting-all-links-which-open-a-new-window
Calculating position,/language=en/taps=35426/35696/calculating-position
Changing small to capital letters,/language=en/taps=35426/35698/changing-small-to-capital-letters
Selecting querystring,/language=en/taps=35426/35700/selecting-querystring
Elements with mixed text,/language=en/taps=35426/35702/elements-with-mixed-text
Filtering by key and numerical value,/language=en/taps=35426/35704/filtering-by-key-and-numerical-value
Totalling by key and numerical value,/language=en/taps=35426/35706/totalling-by-key-and-numerical-value
Selecting subelements by number,/language=en/taps=35426/35708/selecting-subelements-by-number
Selecting elements by namespace,/language=en/taps=35426/35710/selecting-elements-by-namespace
Change XML document into CSV output,/language=en/taps=35426/35712/change-xml-document-into-csv-output
